device_category,description,device_name examples,mcs_group
cardiohelp_ecmo,,Maquet Cardiohelp System,ecmo
centrimag_ecmo,,Abbot CentriMag ECMO pump,ecmo
centrimag_lv,,"CentriMag LVAD, Thoratec CentriMag LV, Abbott CentriMag Left",temporary_lvad
centrimag_rv,,"CentriMag RVAD, Thoratec CentriMag RV, Abbott CentriMag Right",temporary_rvad
dur_lvad_other_unspec,Durable LVAD of unknown or unclear model,,durable_lvad
ecmo_other_unspec,ECMO of unknown or unclear model,,ecmo
heartmate_2,,"HeartMate II, Thoratec HeartMate II, Abbott HeartMate II LVAD",durable_lvad
heartmate_3,,"HeartMate 3, Abbott HeartMate 3, HeartMate III LVAD",durable_lvad
heartware,,"HeartWare HVAD, HVAD System, Medtronic HeartWare HVAD",durable_lvad
iabp,,"Arrow IABP, Maquet Cardiosave IABP, Getinge IABP",iabp
impella_2_5,,"Impella 2.5, Abiomed Impella 2.5, Impella 2.5 LVAD",impella_lvad
impella_5_0,,"Impella 5.0, Abiomed Impella 5.0, Impella 5.0 LVAD",impella_lvad
impella_5_5,,"Impella 5.5, Abiomed Impella 5.5 with SmartAssist, Impella 5.5 LVAD",impella_lvad
impella_CP,,"Impella CP, Abiomed Impella CP, Impella CP with SmartAssist",impella_lvad
impella_LD,,"Impella LD, Abiomed Impella LD, Impella LD long-term support",impella_lvad
impella_lv_other_unspec,Impella of unknown or unclear model,,impella_lvad
impella_RP,,"Impella RP, Abiomed Impella RP, Impella RP RVAD, Impella RP Flex, Abiomed Impella RP Flex, Impella RP Flex RVAD",temporary_rvad
impella_rv_other_unspec,Impella of unknown or unclear model,,temporary_rvad
ivac_2_l,,"iVAC 2L, PulseCath iVAC 2L",temporary_lvad
ivac_3_l,,"iVAC 3L, PulseCath iVAC 3L",temporary_lvad
novalung_ecmo,,NovaLung System,ecmo
rotaflow_ecmo,,"RotaFlow II, RotaFlow ECLS",ecmo
rvad_other_unspec,RVAD of unknown or unclear model,,temporary_rvad
tandemheart_lv,,"TandemHeart pVAD, TandemHeart LVAD, CardiacAssist TandemHeart LV",temporary_lvad
tandemheart_rv,,"TandemHeart RA-PA, TandemHeart RVAD, CardiacAssist TandemHeart RV",temporary_rvad
temp_lvad_other_unspec,Temporary LVAD of unknown or unclear model,,temporary_lvad



